path,status,ttfb_ms,bytes,title_len,desc_len,words,h1,jsonld,inbound_links,hreflang_tags
/br/,200,840,10595,96,129,418,1,WebSite,24,8
/br/about/,200,344,6305,23,173,175,1,WebSite,24,8
/br/articles/bankroll-management/,200,537,7940,39,160,281,1,WebSite,8,8
/br/articles/blackjack-basic-strategy/,200,538,8187,67,142,313,1,WebSite,8,8
/br/articles/esports-betting-basics/,200,271,8663,84,151,354,1,WebSite,8,8
/br/articles/football-betting-basics/,200,111,8087,67,114,293,1,WebSite,8,8
/br/articles/how-to-choose-casino/,200,98,8005,63,127,315,1,WebSite,8,8
/br/articles/how-to-develop-igaming-slots%E2%81%A0/,200,171,13793,90,160,439,1,WebSite,0,8
/br/articles/lottery-formats-overview/,200,109,8360,68,145,304,1,WebSite,8,8
/br/articles/poker-formats-guide/,200,113,7952,75,127,307,1,WebSite,8,8
/br/articles/wagering-explained/,200,98,7913,66,149,297,1,WebSite,8,8
/br/casino-slots/,200,108,7438,30,157,159,1,WebSite,24,8
/br/contacts/,200,92,5537,15,112,79,1,WebSite,24,8
/br/faq/,200,353,6933,28,43,264,1,WebSite,24,8
/br/lottery-esports/,200,99,6647,26,142,113,1,WebSite,24,8
/br/poker-table-games/,200,180,6654,30,124,126,1,WebSite,24,8
/br/privacy/,200,68,6067,31,51,147,1,WebSite,24,8
/br/sports-betting/,200,113,6522,26,128,100,1,WebSite,24,8
/br/terms/,200,103,6169,21,42,182,1,WebSite,24,8
/de/,200,64,10371,74,120,346,1,WebSite,24,8
/de/about/,200,76,6351,24,169,155,1,WebSite,24,8
/de/articles/bankroll-management/,200,115,7981,51,139,266,1,WebSite,8,8
/de/articles/blackjack-basic-strategy/,200,100,8138,70,150,264,1,WebSite,8,8
/de/articles/esports-betting-basics/,200,127,8463,72,153,304,1,WebSite,8,8
/de/articles/football-betting-basics/,200,97,7949,59,114,249,1,WebSite,8,8
/de/articles/how-to-choose-casino/,200,393,8072,71,143,288,1,WebSite,8,8
/de/articles/how-to-develop-igaming-slots%E2%81%A0/,200,113,13715,90,160,431,1,WebSite,0,8
/de/articles/lottery-formats-overview/,200,143,8348,76,160,268,1,WebSite,8,8
/de/articles/poker-formats-guide/,200,109,7976,69,147,282,1,WebSite,8,8
/de/articles/wagering-explained/,200,100,7695,65,149,234,1,WebSite,8,8
/de/casino-slots/,200,193,7324,22,155,139,1,WebSite,24,8
/de/contacts/,200,67,5560,15,150,73,1,WebSite,24,8
/de/faq/,200,140,6887,22,42,245,1,WebSite,24,8
/de/lottery-esports/,200,116,6601,27,140,101,1,WebSite,24,8
/de/poker-table-games/,200,321,6595,27,130,97,1,WebSite,24,8
/de/privacy/,200,87,6098,29,57,144,1,WebSite,24,8
/de/sports-betting/,200,106,6390,19,133,79,1,WebSite,24,8
/de/terms/,200,72,6196,27,53,156,1,WebSite,24,8
/en/,200,133,9826,63,127,366,1,WebSite,24,8
/en/about/,200,61,6066,25,165,178,1,WebSite,24,8
/en/articles/bankroll-management/,200,93,7492,44,111,258,1,WebSite,8,8
/en/articles/blackjack-basic-strategy/,200,110,7779,60,118,292,1,WebSite,8,8
/en/articles/esports-betting-basics/,200,92,8066,64,154,304,1,WebSite,8,8
/en/articles/football-betting-basics/,200,122,7673,64,103,278,1,WebSite,8,8
/en/articles/how-to-choose-casino/,200,111,7528,58,118,279,1,WebSite,8,8
/en/articles/how-to-develop-igaming-slots%E2%81%A0/,200,98,10601,67,158,502,1,WebSite,0,8
/en/articles/lottery-formats-overview/,200,318,7876,59,141,289,1,WebSite,8,8
/en/articles/poker-formats-guide/,200,172,7577,64,122,300,1,WebSite,8,8
/en/articles/wagering-explained/,200,144,7453,48,140,269,1,WebSite,8,8
/en/casino-slots/,200,124,6860,22,130,140,1,WebSite,24,8
/en/contacts/,200,84,5302,16,111,70,1,WebSite,24,8
/en/faq/,200,100,6565,34,38,254,1,WebSite,24,8
/en/lottery-esports/,200,103,6383,25,123,105,1,WebSite,24,8
/en/poker-table-games/,200,126,6402,27,121,106,1,WebSite,24,8
/en/privacy/,200,62,5675,22,31,143,1,WebSite,24,8
/en/sports-betting/,200,99,6252,22,129,88,1,WebSite,24,8
/en/terms/,200,86,5880,20,51,173,1,WebSite,24,8
/es/,200,90,10555,78,139,417,1,WebSite,24,8
/es/about/,200,79,6339,25,194,173,1,WebSite,24,8
/es/articles/bankroll-management/,200,106,8011,44,152,298,1,WebSite,8,8
/es/articles/blackjack-basic-strategy/,200,143,8084,63,144,315,1,WebSite,8,8
/es/articles/esports-betting-basics/,200,104,8732,86,168,377,1,WebSite,8,8
/es/articles/football-betting-basics/,200,315,8099,67,120,300,1,WebSite,8,8
/es/articles/how-to-choose-casino/,200,95,7957,56,137,324,1,WebSite,8,8
/es/articles/how-to-develop-igaming-slots%E2%81%A0/,200,166,13764,90,160,436,1,WebSite,0,8
/es/articles/lottery-formats-overview/,200,153,8393,80,154,327,1,WebSite,8,8
/es/articles/poker-formats-guide/,200,108,7980,86,134,336,1,WebSite,8,8
/es/articles/wagering-explained/,200,104,7833,56,154,301,1,WebSite,8,8
/es/casino-slots/,200,107,7353,28,151,153,1,WebSite,24,8
/es/contacts/,200,78,5574,16,117,85,1,WebSite,24,8
/es/faq/,200,305,6938,28,45,265,1,WebSite,24,8
/es/lottery-esports/,200,153,6667,26,140,120,1,WebSite,24,8
/es/poker-table-games/,200,113,6650,31,130,130,1,WebSite,24,8
/es/privacy/,200,65,6056,30,55,148,1,WebSite,24,8
/es/sports-betting/,200,104,6519,27,134,96,1,WebSite,24,8
/es/terms/,200,68,6198,26,43,185,1,WebSite,24,8
/fr/,200,133,10742,95,131,437,1,WebSite,24,8
/fr/about/,200,54,6544,26,182,199,1,WebSite,24,8
/fr/articles/bankroll-management/,200,114,8239,53,150,323,1,WebSite,8,8
/fr/articles/blackjack-basic-strategy/,200,184,8384,74,157,344,1,WebSite,8,8
/fr/articles/esports-betting-basics/,200,151,8911,74,184,374,1,WebSite,8,8
/fr/articles/football-betting-basics/,200,312,8183,74,121,314,1,WebSite,8,8
/fr/articles/how-to-choose-casino/,200,118,8176,62,141,340,1,WebSite,8,8
/fr/articles/how-to-develop-igaming-slots%E2%81%A0/,200,110,13858,90,160,439,1,WebSite,0,8
/fr/articles/lottery-formats-overview/,200,128,8596,76,177,335,1,WebSite,8,8
/fr/articles/poker-formats-guide/,200,93,8244,81,152,340,1,WebSite,8,8
/fr/articles/wagering-explained/,200,102,8103,53,173,332,1,WebSite,8,8
/fr/casino-slots/,200,99,7579,33,178,169,1,WebSite,24,8
/fr/contacts/,200,73,5674,16,114,96,1,WebSite,24,8
/fr/faq/,200,346,7192,28,45,305,1,WebSite,24,8
/fr/lottery-esports/,200,102,6796,26,157,121,1,WebSite,24,8
/fr/poker-table-games/,200,128,6783,30,141,136,1,WebSite,24,8
/fr/privacy/,200,66,6297,36,55,168,1,WebSite,24,8
/fr/sports-betting/,200,101,6576,22,137,106,1,WebSite,24,8
/fr/terms/,200,58,6375,32,52,199,1,WebSite,24,8
/pt/,200,319,10439,75,129,411,1,WebSite,24,8
/pt/about/,200,284,6284,23,171,179,1,WebSite,24,8
/pt/articles/bankroll-management/,200,311,7858,45,127,285,1,WebSite,8,8
/pt/articles/blackjack-basic-strategy/,200,409,8090,63,138,308,1,WebSite,8,8
/pt/articles/esports-betting-basics/,200,134,8567,63,161,355,1,WebSite,8,8
/pt/articles/football-betting-basics/,200,165,8065,67,114,291,1,WebSite,8,8
/pt/articles/how-to-choose-casino/,200,94,7899,64,122,311,1,WebSite,8,8
/pt/articles/how-to-develop-igaming-slots%E2%81%A0/,200,126,13730,90,160,436,1,WebSite,0,8
/pt/articles/lottery-formats-overview/,200,99,8400,75,158,302,1,WebSite,8,8
/pt/articles/poker-formats-guide/,200,123,7902,76,129,315,1,WebSite,8,8
/pt/articles/wagering-explained/,200,155,7831,66,161,296,1,WebSite,8,8
